deal_id,status,email_dominio,fonte_rd,utm_source_rd,tem_fbclid,tem_gclid,meetime,meetime_desde,classe
457173,won,gmail.com,google,google,0,1,s,2026-07-01T12:33:26.312Z,recuperado_rd_google
457192,won,gmail.com,www_bing_com,www.bing.com,0,0,s,2026-06-30T23:31:15.901Z,recuperado_rd_www_bing_com
457327,won,gmail.com,,,0,0,n,,rd_sem_fonte
457334,won,gmail.com,,,0,0,s,2026-05-29T22:45:42.149Z,so_meetime
457344,won,gmail.com,,,0,0,n,,escuro
457345,lost,gmail.com,meta,,0,0,s,2026-07-01T18:16:07.892Z,recuperado_rd_meta
457356,lost,gmail.com,meta,meta,0,0,s,2026-07-02T01:25:51.161Z,recuperado_rd_meta
457390,won,gmail.com,google,google,0,1,s,2026-07-02T10:54:16.812Z,recuperado_rd_google
457424,won,hotmail.com,,,0,0,n,,escuro
457431,won,gmail.com,,,0,0,n,,escuro
457442,lost,gmail.com,meta,meta,1,0,s,2026-06-04T14:36:34.328Z,recuperado_rd_meta
457453,lost,gmail.com,meta,meta,0,0,s,2023-03-16T23:16:34.960Z,recuperado_rd_meta
457490,won,gmail.com,google,,0,0,s,2026-04-14T22:06:51.215Z,recuperado_rd_google
457505,lost,gmail.com,direto,direto,0,0,s,2026-07-02T18:17:35.468Z,recuperado_rd_direto
457521,won,gmail.com,google,www.google.com,0,0,s,2024-10-16T12:17:08.557Z,recuperado_rd_google
457528,lost,gmail.com,direto,direto,0,0,s,2026-07-02T14:40:49.684Z,recuperado_rd_direto
457529,won,gmail.com,direto,direto,0,0,s,2026-07-01T19:31:09.847Z,recuperado_rd_direto
457534,open,gmail.com,direto,direto,0,0,s,2026-07-01T00:25:47.271Z,recuperado_rd_direto
457541,lost,gmail.com,google,www.google.com,0,0,s,2026-07-02T16:44:28.411Z,recuperado_rd_google
457546,won,gmail.com,,,0,0,s,2026-05-28T14:30:24.606Z,so_meetime
457551,lost,INVALIDO,,,0,0,n,,sem_email
457678,won,gmail.com,google,www.google.com,0,0,s,2026-07-02T03:44:21.254Z,recuperado_rd_google
457699,won,gmail.com,direto,direto,0,0,s,2026-07-02T14:35:34.353Z,recuperado_rd_direto
457703,won,gmail.com,outros,,0,0,s,2026-07-03T03:12:37.717Z,recuperado_rd_outros
457772,won,gmail.com,outros,,0,0,s,2026-06-25T23:17:27.912Z,recuperado_rd_outros
457800,won,gmail.com,,,0,0,n,,escuro
457822,won,hotmail.com,,,0,0,s,2024-01-22T23:52:07.379Z,so_meetime
457828,won,hotmail.com,google,www.google.com,0,0,s,2026-07-03T18:32:23.373Z,recuperado_rd_google
457831,won,gmail.com,google,google,0,1,s,2026-06-26T19:57:39.911Z,recuperado_rd_google
457840,won,INVALIDO,,,0,0,n,,sem_email
457842,won,gmail.com,outros,,0,0,s,2026-07-03T14:27:26.679Z,recuperado_rd_outros
457904,won,gmail.com,google,www.google.com,0,0,s,2026-05-16T21:03:14.853Z,recuperado_rd_google
457965,lost,INVALIDO,,,0,0,n,,sem_email
457967,won,gmail.com,,,0,0,n,,escuro
457981,open,gmail.com,outros,,0,0,s,2026-05-06T15:21:56.066Z,recuperado_rd_outros
457983,won,gmail.com,outros,,0,0,n,,recuperado_rd_outros
458006,open,gmail.com,direto,direto,0,0,s,2026-07-01T01:07:55.124Z,recuperado_rd_direto
458013,won,outlook.com.br,google,www.google.com,0,0,s,2026-03-21T14:26:50.809Z,recuperado_rd_google
458035,won,gmail.com,,,0,0,n,,escuro
458101,lost,icloud.com,google,www.google.com,0,0,s,2026-07-04T19:55:26.947Z,recuperado_rd_google
458116,lost,gmail.com,direto,direto,0,0,s,2026-07-06T02:51:11.418Z,recuperado_rd_direto
458130,won,icloud.com,outros,,0,0,s,2026-03-17T18:34:56.847Z,recuperado_rd_outros
458154,won,pizzapanz.com.br,outros,,0,0,s,2026-07-03T00:57:52.640Z,recuperado_rd_outros
458155,won,gmail.com,direto,direto,0,0,s,2026-07-03T13:44:56.014Z,recuperado_rd_direto
458174,won,gmail.com,,,0,0,n,,escuro
458177,won,gmail.com,,,0,0,n,,escuro
458182,won,gmail.com,chatgpt_com,chatgpt.com,0,0,s,2026-07-05T22:36:29.641Z,recuperado_rd_chatgpt_com
458183,won,outlook.com,,,0,0,n,,escuro
458192,won,gmail.com,portal_cardapioweb_com,portal.cardapioweb.com,0,0,s,2025-06-22T16:10:33.191Z,recuperado_rd_portal_cardapioweb_com
458215,lost,gmail.com,google,www.google.com,0,0,s,2026-07-02T16:16:08.691Z,recuperado_rd_google
458228,won,gmail.com,direto,direto,0,0,s,2026-06-30T19:15:47.154Z,recuperado_rd_direto
458233,lost,gmail.com,direto,direto,0,0,s,2026-07-05T18:14:21.336Z,recuperado_rd_direto
458238,won,gmail.com,,,0,0,n,,escuro
458268,lost,gmail.com,wpp,wpp,0,0,s,2026-07-03T18:27:08.213Z,recuperado_rd_wpp
458275,won,hotmail.com,,,0,0,n,,escuro
458389,won,gmail.com,,,0,0,n,,escuro
458404,won,gmail.com,www_bing_com,www.bing.com,0,0,s,2026-07-06T20:52:15.648Z,recuperado_rd_www_bing_com
458466,won,gmail.com,google,www.google.com,0,0,s,2026-05-13T02:10:43.569Z,recuperado_rd_google
458560,open,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-03T10:47:06.513Z,recuperado_rd_cardapioweb_com
458633,lost,gmail.com,chatgpt_com,chatgpt.com,0,0,s,2026-06-28T18:56:16.584Z,recuperado_rd_chatgpt_com
458659,open,yahoo.com.br,google,www.google.com,0,0,s,2026-07-06T13:46:52.968Z,recuperado_rd_google
