Data,,Workflow,Node com erro,Execution URL ,Mensagem de erro,Motivo do erro,Análise humana
2026-02-18T16:06:50.098-03:00,2026-02-18, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53673481  ,Bad request - please check your parameters  ,"At least one of these fields must be present: email, phone",
2026-02-18T16:49:00.785-03:00,2026-02-18, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53689541  ,Bad request - please check your parameters  ,"At least one of these fields must be present: email, phone",
2026-02-18T16:56:44.444-03:00,2026-02-18, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53692176  ,Bad request - please check your parameters  ,"At least one of these fields must be present: email, phone",
2026-02-18T17:04:08.767-03:00,2026-02-18, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53695575  ,Bad request - please check your parameters  ,"At least one of these fields must be present: email, phone",
2026-02-18T17:10:24.371-03:00,2026-02-18, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53697856  ,Bad request - please check your parameters  ,"At least one of these fields must be present: email, phone",
2026-02-18T17:24:21.682-03:00,2026-02-18, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53704010  ,Bad request - please check your parameters  ,"At least one of these fields must be present: email, phone",
2026-02-18T17:26:26.701-03:00,2026-02-18, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53704777  ,Bad request - please check your parameters  ,"At least one of these fields must be present: email, phone",
2026-02-19T16:26:11.085-03:00,2026-02-19, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53979632  ,page.includer is not a function [line 26]  ,TypeError,
2026-02-19T16:44:28.989-03:00,2026-02-19, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53985759  ,page.includer is not a function [line 26]  ,TypeError,
2026-02-19T16:49:49.584-03:00,2026-02-19, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53987727  ,page.includer is not a function [line 26]  ,TypeError,
2026-02-19T16:55:57.410-03:00,2026-02-19, [SQL] Automação para definir tier dos leads e enviar para a meetime  ,,https://n8n.cardapioweb.com/workflow/GADrDhIEi1NvOJn9/executions/53990020  ,page.includer is not a function [line 26]  ,TypeError,
