ID,Sprint,Responsável,Nome curto,Link Jira,Status,Link documentação,Data início,Data término,Resultado,Métrica,Baseline,25-mai.,26-mai.,27-mai.,28-mai.,29-mai.,30-mai.,31-mai.,01-jun.,02-jun.,03-jun.,04-jun.,05-jun.,06-jun.,07-jun.,08-jun.,09-jun.,10-jun.,11-jun.,12-jun.,13-jun.,14-jun.,15-jun.,16-jun.,17-jun.,18-jun.,19-jun.,20-jun.,21-jun.,22-jun.,23-jun.,24-jun.,25-jun.,26-jun.,27-jun.,28-jun.,29-jun.,30-jun.
EXP-15,SM-28,Alexandre,1º follow-up em áudio (Clara IA),https://cardapio-web.atlassian.net/browse/GWT-2622,Concluído,https://cardapio-web.atlassian.net/wiki/spaces/~712020cde304527b4a4c2e8157db30922c0784/pages/1989279748/An+lise+de+Hip+teses+Alexandre,06/06/2026,13/06/2026,Validada,Taxa de resposta ao 1º follow-up,"20,5",,,,,,,,,,,,,"39,10%","63,60%","22,00%","21,90%","37,80%","30,40%",0%,"16,70%",,,,,,,,,,,,,,,,,
EXP-16,SM-28,Alexandre,Apresentação do plano mensal (R$ 209 boleto) vs. anual,https://cardapio-web.atlassian.net/browse/GWT-2645,Concluído,https://cardapio-web.atlassian.net/wiki/spaces/MAR/pages/2001502226/P+s-mortem+Apresenta+o+do+plano+mensal+R+209+boleto+vs.+anual,09/06/2026,18/06/2026,Validada,Taxa de agendamento de reunião (após qualificação),"5,37%",,,,,,,,,,,,,,,,"0,00%","0,00%","0,00%",0%,"5,80%","1,60%","3,15%","0,00%","0,00%","0,00%",,,,,,,,,,,,
,,Alexandre,Apresentação do plano Mensal (R$ 209 boleto),https://cardapio-web.atlassian.net/browse/GWT-2645,,,,,Validada,,,,,,,,,,,,,,,,,,0%,"2,40%","7,30%",0%,0%,0%,"10,00%","3,10%","0,00%","2,00%",,,,,,,,,,,,
,,Alexandre,Apresentação do plano Anual,https://cardapio-web.atlassian.net/browse/GWT-2645,,,,,Validada,,,,,,,,,,,,,,,,,,"4,70%","2,30%","2,40%",0%,"5,80%","1,60%","4,70%","0,00%","0,00%","2,00%",,,,,,,,,,,,
EXP-23,SM-29,Alexandre,Resposta da Clara traduzindo o retorno na realidade do segmento,https://cardapio-web.atlassian.net/browse/GWT-2730,Concluído,https://cardapio-web.atlassian.net/wiki/spaces/MAR/pages/2007236609/P+s-mortem+Resposta+da+Clara+traduzindo+o+ROI+na+realidade+do+segmento,13/06/2026,20/06/2026,Refutada,Taxa de agendamento de reunião nichada(após qualificação),"3,20%",,,,,,,,,,,,,,,,,,,,"2309300,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,
,,Alexandre,Pizzaria,,,,,,,,"2,60%",,,,,,,,,,,,,,,,,,,,0%,-,-,"0,00%",-,-,"0,00%",-,,,,,,,,,,
,,Alexandre,Hamburgueria,,,,,,,,"3,40%",,,,,,,,,,,,,,,,,,,,"100,00%",-,"0,00%",-,"0,00%","0,00%","0,00%",-,,,,,,,,,,
,,Alexandre,Pastelaria,,,,,,,,"3,60%",,,,,,,,,,,,,,,,,,,,-,"0,00%","0,00%",-,"0,00%",-,-,-,,,,,,,,,,
EXP-14,SM-28,Alexandre,Teste de modelo de IA da Clara (atual vs. V4 Flash),https://cardapio-web.atlassian.net/browse/GWT-2620,Concluído,https://cardapio-web.atlassian.net/wiki/x/AoBHdw,15/06/2026,22/06/2026,Refutada,Taxa de agendamento de reunião (após qualificação),"5,37%",,,,,,,,,,,,,,,,,,,,,,"6,30%",,,,,,,,,,,,,,,
,,Alexandre,Gpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,10%",,,,,,,,,,,,,,,
